company_name,offered_position,direct_apply_link,job_description,hr_email,scraped_at
Capgemini,Software Engineer - Full Stack,https://www.capgemini.com/careers,"Full stack development at Capgemini. Web applications, React, Node.js, cloud deployment. Multiple openings.",careers@capgemini.com,2026-01-30T14:55:22.877687
Cybage,Backend Developer,https://www.cybage.com/careers,"Backend development at Cybage. Java, Python, cloud services, digital solutions. Currently hiring.",careers@cybage.com,2026-01-30T14:55:22.877687
HCL Technologies,Backend Developer,https://www.hcltech.com/careers,"Backend development at HCL. Python, Django, REST APIs, cloud services. Currently hiring.",careers@hcltech.com,2026-01-30T14:55:22.877687
Hexaware,Full Stack Developer,https://www.hexaware.com/careers,"Full stack development at Hexaware. React, .NET, cloud deployment, digital transformation. Hiring now.",careers@hexaware.com,2026-01-30T14:55:22.877687
KPIT Technologies,Backend Developer,https://www.kpit.com/careers,"Backend development at KPIT. Java, Python, cloud services, automotive solutions. Currently hiring.",careers@kpit.com,2026-01-30T14:55:22.877687
L&T Infotech,Software Engineer - Backend,https://www.lntinfotech.com/careers,"Backend development at L&T Infotech. Java, Spring, microservices, enterprise solutions. Open positions.",careers@lntinfotech.com,2026-01-30T14:55:22.877687
Mindtree,Full Stack Developer,https://www.mindtree.com/careers,"Full stack development at Mindtree. Java, React, microservices, cloud solutions. Actively hiring.",careers@mindtree.com,2026-01-30T14:55:22.877687
Persistent Systems,Software Engineer - Full Stack,https://www.persistent.com/careers,"Full stack development at Persistent. React, Node.js, cloud platforms, digital engineering. Multiple openings.",careers@persistent.com,2026-01-30T14:55:22.877687
Tech Mahindra,SDE - Full Stack,https://www.techmahindra.com/careers,"Full stack development at Tech Mahindra. Angular, .NET, SQL, AWS deployment. Open positions available.",careers@techmahindra.com,2026-01-30T14:55:22.877687
Wipro,Software Developer - Backend,https://careers.wipro.com/,"Backend development at Wipro. Python, Django, APIs, database design. Multiple positions open.",careers@wipro.com,2026-01-30T14:55:22.876177
